"measure","estimate_95eCI"
"RR10_heat_lowO3","1.12 (1.04, 1.24)"
"RR01_ref_highO3","1.01 (0.98, 1.03)"
"RR11_heat_highO3","1.39 (1.28, 1.53)"
"RR_heat_within_highO3","1.38 (1.26, 1.52)"
"multiplicative_interaction","1.23 (1.09, 1.39)"
"RERI","0.26 (0.11, 0.41)"
