"percentile","temperature","time_series","case_crossover"
"cold_1",-15,"1.27 (1.18, 1.36)","1.31 (1.23, 1.39)"
"cold_2.5",-11.7,"1.24 (1.16, 1.32)","1.26 (1.20, 1.33)"
"heat_97.5",27.2,"1.04 (1.00, 1.08)","1.04 (1.00, 1.09)"
"heat_99",28.6,"1.07 (1.00, 1.14)","1.07 (1.00, 1.15)"
